"Classification","Business_Name","Title","Address","Suburb","Postcode","State","Country","Distance","Description","Organisation","GLA","Centre Size","Number of GP's","Phone Number"
"Clinical Services","All Medical Centres","Burnie General Practice","35-37 Mount Street, Burnie TAS 7320","Burnie","7320","Tasmania","Australia","127.77","","","","Midsized","6","(03) 6431 7708"
"Clinical Services","All Medical Centres","Bass House Surgery","83 Wilmot Street, Burnie TAS 7320","Burnie","7320","Tasmania","Australia","128.06","","","","Midsized","5","(03) 6431 3244"
"Clinical Services","All Medical Centres","Ochre Health Medical Centre Cygnet","14 George Street, Cygnet TAS 7112","Cygnet","7112","Tasmania","Australia","129.28","","","","Small","4","(03) 6264 2800"
"Clinical Services","All Medical Centres","Cygnet Family Practice","5 Thorp Street, Cygnet TAS 7112","Cygnet","7112","Tasmania","Australia","129.73","","","","Midsized","5","(03) 6295 1460"
"Clinical Services","All Medical Centres","Burnie GP Superclinic","52-56 Bass Highway, Cooee TAS 7320","Cooee","7322","Tasmania","Australia","130.11","","","","Small","3","(03) 6433 9999"
"Clinical Services","All Medical Centres","Ochre Health Medical Centre St Marys","15-17 Gardiners Creek Rd, St Marys TAS 7215","St Marys","7215","Tasmania","Australia","131.47","","","","Small","1","(03) 6387 5555"
"Clinical Services","All Medical Centres","Bicheno Medical Centre","94 Foster Street, Bicheno TAS 7215","Bicheno","7215","Tasmania","Australia","131.88","","","","Small","3","(03) 6375 1455"
"Clinical Services","All Medical Centres","Somerset Medical Centre","33 Falmouth Street, Somerset TAS 7322","Somerset","7322","Tasmania","Australia","131.98","","","","Small","3","(03) 6435 1421"
"Clinical Services","All Medical Centres","Saunders Street Clinic","37 Jackson Street, Wynyard TAS 7325","Wynyard","7325","Tasmania","Australia","141.63","","","","Midsized","6","(03) 6442 1700"
"Clinical Services","All Medical Centres","Wynyard Medical Centre","138 Goldie Street, Wynyard TAS 7325","Wynyard","7325","Tasmania","Australia","141.83","","","","Small","4","(03) 6442 2201"
"Clinical Services","All Medical Centres","Dover Medical Centre","15 Chapman Avenue, Dover TAS 7117","Dover","7117","Tasmania","Australia","145.19","","","","Small","2","(03) 6298 1222"
"Clinical Services","All Medical Centres","Tasman Medical Practice","1614 Nubeena Road, Nubeena TAS 7184","Nubeena","7112","Tasmania","Australia","145.64","","","","Small","2","(03) 6250 9038"
"Clinical Services","All Medical Centres","Ochre Health Medical Centre St Helens","11 Pendrigh Place, St Helens TAS 7216","St Helens","7277","Tasmania","Australia","149.73","","","","Small","4","(03) 6376 1777"
"Clinical Services","All Medical Centres","Ochre Health Medical Centre Bruny Island","Bruny Island Community Health Centre, 16 School Road, Alonnah TAS 7150","","7150","Tasmania","Australia","149.82","","","","Small","3","(03) 6121 7400"
"Clinical Services","All Medical Centres","Ochre Health Medical Centre Smithton","14 King Street, Smithton TAS 7330","Smithton","7330","Tasmania","Australia","187.22","","","","Midsized","6","(03) 6452 2555"
"Clinical Services","All Medical Centres","Ochre Health Medical Centre Flinders Island","4 James Street, Whitemark TAS 7255","Smithton","7255","Tasmania","Australia","238.41","","","","Small","3","(03) 6359 2011"
"Pharmacy","Advantage Pharmacy","Claremont Plaza Advantage Pharmacy","23/35 Main Rd, Claremont TAS 7011, Australia","Claremont","7011","Tasmania","Australia","95.7","","","","","",""
"Pharmacy","Advantage Pharmacy","Mersey Advantage Pharmacy","62 Wright St, East Devonport TAS 7310, Australia","East Devonport","7310","Tasmania","Australia","98.62","","","","","",""
"Pharmacy","Advantage Pharmacy","Advantage Pharmacy Moonah","67 Hopkins St, Moonah TAS 7009, Australia","Moonah","7009","Tasmania","Australia","102.7","","","","","",""
"Pharmacy","Advantage Pharmacy","Advantage Pharmacy New Town","127 New Town Rd, New Town TAS 7008, Australia","New Town","7008","Tasmania","Australia","104.45","","","","","",""
"Pharmacy","Advantage Pharmacy","Advantage Pharmacy Hobart","103 Liverpool St, Hobart TAS 7000, Australia","Hobart","7000","Tasmania","Australia","107.37","","","","","",""
"Pharmacy","Advantage Pharmacy","Westside Pharmacy","42 Queen St, West Ulverstone TAS 7315, Australia","West Ulverstone","7315","Tasmania","Australia","107.65","","","","","",""
"Pharmacy","Advantage Pharmacy","Rhys Jones Pharmacy","13 Bayfield St, Rosny Park TAS 7018, Australia","Rosny Park","7018","Tasmania","Australia","107.69","","","","","",""
"Pharmacy","Advantage Pharmacy","Advantage Pharmacy Penguin","105 Main Rd, Penguin TAS 7316, Australia","Penguin","7316","Tasmania","Australia","114.64","","","","","",""
"Pharmacy","Advantage Pharmacy","Burnie Plaza Pharmacy","42 Wilson Street, Burnie, TAS, Australia","Burnie","7320","Tasmania","Australia","127.75","","","","","",""
"Pharmacy","All Pharmacy","Central Highlands Pharmacy","12 Patrick Street Bothwell TAS 7030","Bothwell","7030","Tasmania","Australia","46.31","","","","","",""
"Pharmacy","All Pharmacy","Deloraine Guardian Pharmacy","15 Meander Valley Road Deloraine TAS 7304","Deloraine","7304","Tasmania","Australia","56.09","","","","","",""
"Pharmacy","All Pharmacy","Deloraine Amcal Pharmacy","62-64 Emu Bay Road Deloraine TAS 7304","Deloraine","7304","Tasmania","Australia","56.14","","","","","",""
"Pharmacy","All Pharmacy","Westbury Pharmacy","82 Meander Valley Road Westbury TAS 7303","Westbury","7303","Tasmania","Australia","56.63","","","","","",""
"Pharmacy","All Pharmacy","Longford Discount Pharmacy","7a Wellington Street Longford TAS 7301","Longford","7301","Tasmania","Australia","59.27","","","","","",""
"Pharmacy","All Pharmacy","Oatlands Pharmacy","90 High Street Oatlands TAS 7120","Oatlands","7120","Tasmania","Australia","62.0","","","","","",""
"Pharmacy","All Pharmacy","Perth Pharmacy","71a Main Road Perth TAS 7300","Perth","7300","Tasmania","Australia","62.95","","","","","",""
"Pharmacy","All Pharmacy","Campbell Town Community Pharmacy","119 High Street Campbell Town TAS 7210","Campbell Town","7210","Tasmania","Australia","65.2","","","","","",""
"Pharmacy","All Pharmacy","Evandale Pharmacy","8a High Street Evandale TAS 7212","Evandale","7212","Tasmania","Australia","67.33","","","","","",""
"Pharmacy","All Pharmacy","TerryWhite Chemmart - Prospect Vale","350 Westbury Road Prospect Vale TAS 7250","Prospect Vale","5606","Tasmania","Australia","69.71","","","","","",""
"Pharmacy","All Pharmacy","Youngtown Pharmacy","369 Hobart Road Youngtown TAS 7249","Youngtown","7249","Tasmania","Australia","70.98","","","","","",""
"Pharmacy","All Pharmacy","Olde Tudor Pharmacy","195 Westbury Road Prospect TAS 7250","Prospect","7250","Tasmania","Australia","71.23","","","","","",""
"Pharmacy","All Pharmacy","SUMMERHILL PHARMACY","176 Peel Street W Summerhill TAS 7250","Summerhill","7250","Tasmania","Australia","71.24","","","","","",""
"Pharmacy","All Pharmacy","The Meadow Mews Pharmacy","102 Hobart Road Kings Meadows TAS 7249","Kings Meadows","7249","Tasmania","Australia","72.39","","","","","",""
"Pharmacy","All Pharmacy","Pharmacy + Co Kings Meadows","133 Hobart Road Kings Meadows TAS 7249","Kings Meadows","7249","Tasmania","Australia","72.46","","","","","",""
"Pharmacy","All Pharmacy","Epic Pharmacy - Kings Meadows","86 Hobart Road Kings Meadows TAS 7249","Kings Meadows","7000","Tasmania","Australia","72.55","","","","","",""
"Pharmacy","All Pharmacy","TerryWhite Chemmart Health Hub","247 Wellington Street Launceston TAS 7250","Launceston","7250","Tasmania","Australia","73.41","","","","","",""
"Pharmacy","All Pharmacy","Chemist Warehouse South Launceston","98 Wellington Street Launceston TAS 7250","Launceston","7250","Tasmania","Australia","73.85","","","","","",""
"Pharmacy","All Pharmacy","HPS Pharmacies - Wellington","127-129 Wellington Street Launceston TAS 7250","Launceston","7250","Tasmania","Australia","73.9","","","","","",""
"Pharmacy","All Pharmacy","TREVALLYN PHARMACY","20 Gorge Road Trevallyn TAS 7250","Trevallyn","7250","Tasmania","Australia","73.93","","","","","",""
"Pharmacy","All Pharmacy","FITZPATRICK'S PHARMACY","231 Charles Street Launceston TAS 7250","Launceston","7250","Tasmania","Australia","74.07","","","","","",""
"Pharmacy","All Pharmacy","Chemist Warehouse Launceston","112a-116 Charles Street Launceston TAS 7250","Launceston","7250","Tasmania","Australia","74.27","","","","","",""
"Pharmacy","All Pharmacy","Hatton and Laws Pharmacy","102 Charles Street Launceston TAS 7250","Launceston","7250","Tasmania","Australia","74.29","","","","","",""
"Pharmacy","All Pharmacy","HPS Pharmacies Launceston","5 Frederick Street Launceston TAS 7250","Launceston","7250","Tasmania","Australia","74.3","","","","","",""
"Pharmacy","All Pharmacy","Pharmacy + Co Launceston","68a Brisbane Street Launceston TAS 7250","Launceston","7250","Tasmania","Australia","74.59","","","","","",""
"Pharmacy","All Pharmacy","TerryWhite Chemmart Launceston City","27-29 Brisbane Street Launceston TAS 7250","East Launceston","7250","Tasmania","Australia","74.91","","","","","",""
"Pharmacy","All Pharmacy","Terry White Chemmart - Newstead","167 Elphin Road Newstead TAS 7250","Newstead","5043","Tasmania","Australia","74.95","","","","","",""
"Pharmacy","All Pharmacy","Terry White Chemmart - Riverside","304 West Tamar Highway Riverside TAS 7250","Parafield Gardens","5043","Tasmania","Australia","75.44","","","","","",""
"Pharmacy","All Pharmacy","Chemist Warehouse Racecourse Launceston","1-3 Innes Street Launceston TAS 7250","Launceston","2620","Tasmania","Australia","75.52","","","","","",""
"Pharmacy","All Pharmacy","Priceline Pharmacy -  Launceston Plaza","15 Racecourse Crescent Launceston TAS 7250","Launceston","5540","Tasmania","Australia","75.65","","","","","",""
"Pharmacy","All Pharmacy","Chemist Warehouse Mowbray","25 Vermont Road Mowbray TAS 7248","Mowbray","7248","Tasmania","Australia","77.44","","","","","",""
"Pharmacy","All Pharmacy","TerryWhite Chemmart Mowbray","4/282 Invermay Road Mowbray TAS 7248","Invermay","7248","Tasmania","Australia","77.45","","","","","",""
"Pharmacy","All Pharmacy","TerryWhite Chemmart Ravenswood","2 Prossers Forest Road Ravenswood TAS 7250","Ravenswood","4305","Tasmania","Australia","77.72","","","","","",""
"Pharmacy","All Pharmacy","TerryWhite Chemmart - Legan","8 Legana Grove Legana TAS 7277","Legana","2641","Tasmania","Australia","78.62","","","","","",""
"Pharmacy","All Pharmacy","Turnbull's Pharmacy","57 Main Street Sheffield TAS 7306","Sheffield","7306","Tasmania","Australia","78.77","","","","","",""
"Pharmacy","All Pharmacy","Chemist Warehouse Newnham","77 George Town Road Newnham TAS 7248","Newnham","2300","Tasmania","Australia","78.77","","","","","",""
"Pharmacy","All Pharmacy","Railton Pharmacy","33 Foster Street Railton TAS 7305","Railton","7305","Tasmania","Australia","79.52","","","","","",""
"Pharmacy","All Pharmacy","Exeter Capital Pharmacy","51 Main Road Exeter TAS 7275","Exeter","7275","Tasmania","Australia","83.23","","","","","",""
"Pharmacy","All Pharmacy","Brighton Pharmacy","172 Brighton Road Brighton TAS 7030","Pontville","7030","Tasmania","Australia","86.68","","","","","",""
"Pharmacy","All Pharmacy","New Norfolk Pharmacy","6 High Street New Norfolk TAS 7140","New Norfolk","7140","Tasmania","Australia","88.47","","","","","",""
"Pharmacy","All Pharmacy","New Norfolk Amcal Community Pharmacy","53 High Street New Norfolk TAS 7140","New Norfolk","7140","Tasmania","Australia","88.48","","","","","",""
"Pharmacy","All Pharmacy","PRICELINE PHARMACY - BRIDGEWATER","24-28 Greenpoint Road Bridgewater TAS 7030","Bridgewater","2200","Tasmania","Australia","90.2","","","","","",""
"Pharmacy","All Pharmacy","Coventry's Pharmacy","45a Gilbert Street Latrobe TAS 7307","Latrobe","4558","Tasmania","Australia","91.8","","","","","",""
"Pharmacy","All Pharmacy","West Tamar Pharmacy","144 Weld Street Beaconsfield TAS 7270","Beaconsfield","7270","Tasmania","Australia","92.45","","","","","",""
"Pharmacy","All Pharmacy","Claremont Plaza Advantage Pharmacy","35 Main Road Claremont TAS 7011","Claremont","7011","Tasmania","Australia","95.72","","","","","",""
"Pharmacy","All Pharmacy","Claremont Pharmacy","14 Box Hill Rd Claremont TAS 7011","Claremont","7011","Tasmania","Australia","95.72","","","","","",""
"Pharmacy","All Pharmacy","Queenstown Medical Union Pharmacy","14-16 Orr Street Queenstown TAS 7467","Queenstown","7467","Tasmania","Australia","95.95","","","","","",""
"Pharmacy","All Pharmacy","Lilydale Pharmacy","1979 Main Road Lilydale TAS 7268","Lilydale","7268","Tasmania","Australia","96.04","","","","","",""
"Pharmacy","All Pharmacy","CHIGWELL PHARMACY","2 Bucaan Street Chigwell TAS 7011","Chigwell","7011","Tasmania","Australia","97.25","","","","","",""
"Pharmacy","All Pharmacy","Amcal Max - Shearwater","11 Poyston Drive Shearwater TAS 7307","Shearwater","7307","Tasmania","Australia","97.5","","","","","",""
"Pharmacy","All Pharmacy","Amcal Shearwater","Port Sorell Shopping Centre, Shop 6-9, 11 Poyston Drive, SHEARWATER, TAS,","Shearwater","7307","Tasmania","Australia","97.51","","","","","",""
"Pharmacy","All Pharmacy","Village Pharmacy","1-3 Club Drive Shearwater TAS 7307","Shearwater","7307","Tasmania","Australia","97.57","","","","","",""
"Pharmacy","All Pharmacy","TerryWhite Chemmart Valley Road Devonport","35-37 Valley Road Devonport TAS 7310","Devonport","7310","Tasmania","Australia","98.5","","","","","",""
"Pharmacy","All Pharmacy","Richmond Pharmacy","25a Bridge Street Richmond TAS 7025","Richmond","3121","Tasmania","Australia","98.53","","","","","",""
"Pharmacy","All Pharmacy","Advantage Mersey Pharmacy","62 Wright Street East Devonport TAS 7310","East Devonport","7310","Tasmania","Australia","98.63","","","","","",""
"Pharmacy","All Pharmacy","Good Price Pharmacy Warehouse Devonport","39-41 Rooke Street, DEVONPORT, TAS,","Devonport","7310","Tasmania","Australia","98.76","","","","","",""
"Pharmacy","All Pharmacy","My Pharmacy Plus Devonport","Shop 2, 131 Steele StreetDEVONPORT, TAS,","Devonport","7310","Tasmania","Australia","99.05","","","","","",""
"Pharmacy","All Pharmacy","Amcal Max Devonport","80 Best Street Devonport TAS 7310","Devonport","7310","Tasmania","Australia","99.21","","","","","",""
"Pharmacy","All Pharmacy","Devonport Pharmacy","48-54 Oldaker Street Devonport TAS 7310","Devonport","7310","Tasmania","Australia","99.36","","","","","",""
"Pharmacy","All Pharmacy","Terry White Chemmart - Four Ways","155 William Street Devonport TAS 7310","Devonport","7310","Tasmania","Australia","99.47","","","","","",""
"Pharmacy","All Pharmacy","ROSETTA PHARMACY","500 Main Road Montrose TAS 7010","Montrose","7010","Tasmania","Australia","99.54","","","","","",""
"Pharmacy","All Pharmacy","Chemist Warehouse Northgate","387-393 Main Road Glenorchy TAS 7010","Glenorchy","7010","Tasmania","Australia","100.5","","","","","",""
"Pharmacy","All Pharmacy","Priceline Pharmacy Glenorchy","346 Main Road Glenorchy TAS 7010","Glenorchy","7010","Tasmania","Australia","100.79","","","","","",""
"Pharmacy","All Pharmacy","Blooms the Chemist Glenorchy","12 Eady Street Glenorchy TAS 7010","Glenorchy","7010","Tasmania","Australia","100.84","","","","","",""
"Pharmacy","All Pharmacy","Chemist Warehouse - Glenorchy","4 Eady Street Glenorchy TAS 7010","Glenorchy","7010","Tasmania","Australia","100.86","","","","","",""
"Pharmacy","All Pharmacy","Rosebery Pharmacy","7 Agnes Street Rosebery TAS 7470","Rosebery","7470","Tasmania","Australia","101.21","","","","","",""
"Pharmacy","All Pharmacy","Derwent Park Amcal Pharmacy","254 Main Road Derwent Park TAS 7009","Derwent Park","7009","Tasmania","Australia","101.44","","","","","",""
"Pharmacy","All Pharmacy","Risdon Vale Pharmacy","38 Sugarloaf Road Risdon Vale TAS 7016","Risdon Vale","7016","Tasmania","Australia","101.73","","","","","",""
"Pharmacy","All Pharmacy","Friendly Care Advantage Pharmacy Moonah","67 Hopkins Street Moonah TAS 7009","Moonah","7009","Tasmania","Australia","102.68","","","","","",""
"Pharmacy","All Pharmacy","Chemist Warehouse Moonah","68-78 Main Road Moonah TAS 7009","Moonah","5092","Tasmania","Australia","102.76","","","","","",""
"Pharmacy","All Pharmacy","Your Pharmacy","76 Macquarie Street George Town TAS 7253","George Town","7253","Tasmania","Australia","102.81","","","","","",""
"Pharmacy","All Pharmacy","George Town Pharmacy","89 Macquarie Street George Town TAS 7253","George Town","7253","Tasmania","Australia","102.94","","","","","",""
"Pharmacy","All Pharmacy","CHEMIST WAREHOUSE - NEW TOWN","1 Risdon Road New Town TAS 7008","New Town","7008","Tasmania","Australia","104.06","","","","","",""
"Pharmacy","All Pharmacy","Friendly Care Advantage New Town","121 127 New Town Road New Town TAS 7008","New Town","7008","Tasmania","Australia","104.47","","","","","",""
"Pharmacy","All Pharmacy","AUGUSTA ROAD PHARMACY","120 Augusta Road Lenah Valley TAS 7008","Lenah Valley","7008","Tasmania","Australia","104.61","","","","","",""
"Pharmacy","All Pharmacy","Lenah Valley Pharmacy","106 Augusta Rd Lenah Valley TAS 7008","Lenah Valley","7008","Tasmania","Australia","104.72","","","","","",""
"Pharmacy","All Pharmacy","HPS Pharmacies Lenah Valley","18 Joynton Street Lenah Valley TAS 7008","New Town","7008","Tasmania","Australia","104.95","","","","","",""
"Pharmacy","All Pharmacy","TerryWhite Chemmart - Lindisfarne Village","17-19 Franklin Street Lindisfarne TAS 7015","Lindisfarne","7015","Tasmania","Australia","105.04","","","","","",""
"Pharmacy","All Pharmacy","CHEMIST WAREHOUSE - LINDISFARNE","36 Lincoln Street Lindisfarne TAS 7015","Lindisfarne","7015","Tasmania","Australia","105.09","","","","","",""
"Pharmacy","All Pharmacy","Epic Pharmacy - New Town","30-36 New Town Road New Town TAS 7008","New Town","7008","Tasmania","Australia","105.33","","","","","",""
"Pharmacy","All Pharmacy","ELIZABETH STREET PHARMACY","384 Elizabeth Street North Hobart TAS 7000","North Hobart","7000","Tasmania","Australia","106.13","","","","","",""
"Pharmacy","All Pharmacy","North Hobart  Pharmacy","360 Elizabeth Street North Hobart TAS 7000","North Hobart","7000","Tasmania","Australia","106.23","","","","","",""
"Pharmacy","All Pharmacy","Chemist Warehouse - North Hobart","346-352 Elizabeth Street North Hobart TAS 7000","North Hobart","7000","Tasmania","Australia","106.26","","","","","",""
"Pharmacy","All Pharmacy","Amcal Pharmacy - West Hobart","111 Hill Street West Hobart TAS 7000","West Hobart","7000","Tasmania","Australia","106.57","","","","","",""
"Pharmacy","All Pharmacy","Priceline Pharmacy - Ulverstone","66 Reibey Street Ulverstone TAS 7315","Ulverstone","7315","Tasmania","Australia","106.74","","","","","",""
"Pharmacy","All Pharmacy","Peter Thompson's Pharmacy","13 Reibey Street Ulverstone TAS 7315","Ulverstone","7315","Tasmania","Australia","106.92","","","","","",""
"Pharmacy","All Pharmacy","Fullife Pharmacy Ulverstone","67 Reibey Street Ulverstone TAS 7315","Ulverstone","7315","Tasmania","Australia","106.95","","","","","",""
"Pharmacy","All Pharmacy","Epic Pharmacy Hobart","2 Melville Street Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.08","","","","","",""
"Pharmacy","All Pharmacy","Blooms The Chemist Hobart","71 Bathurst Street Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.2","","","","","",""
"Pharmacy","All Pharmacy","Chemist Warehouse - Hobart","144 Murray Street Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.26","","","","","",""
"Pharmacy","All Pharmacy","WARRANE PHARMACY","14 Edgeworth Street Warrane TAS 7018","Warrane","7018","Tasmania","Australia","107.3","","","","","",""
"Pharmacy","All Pharmacy","Good Price Pharmacy Warehouse - Hobart","42 Argyle Street Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.36","","","","","",""
"Pharmacy","All Pharmacy","Friendly Care Advantage Hobart","103 Liverpool Street Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.37","","","","","",""
"Pharmacy","All Pharmacy","HPS Pharmacies Hobart","33 Argyle Street Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.41","","","","","",""
"Pharmacy","All Pharmacy","Chemist Warehouse - Rosny","27 Bligh Street Rosny Park TAS 7018","Rosny Park","2029","Tasmania","Australia","107.43","","","","","",""
"Pharmacy","All Pharmacy","Chemist Warehouse - Hobart City Centre","34 Elizabeth Street Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.54","","","","","",""
"Pharmacy","All Pharmacy","Chemist Warehouse Eastlands","26 Bligh Street Rosny Park TAS 7018","Rosny Park","6104","Tasmania","Australia","107.56","","","","","",""
"Pharmacy","All Pharmacy","Capital Chemist Hobart","232-242 Liverpool Street Hobart TAS 7000","Hobart","7000","Tasmania","Australia","107.59","","","","","",""
"Pharmacy","All Pharmacy","Complete Care Pharmacy Rosny Park","8 Bayfield Street Rosny Park TAS 7018","Rosny Park","7018","Tasmania","Australia","107.6","","","","","",""
"Pharmacy","All Pharmacy","Westside Pharmacy & Post Office","42 Queen Street West Ulverstone TAS 7315","Ulverstone","7315","Tasmania","Australia","107.65","","","","","",""
"Pharmacy","All Pharmacy","Rhys Jones Pharmacy","13 Bayfield Street Rosny Park TAS 7018","Rosny Park","7018","Tasmania","Australia","107.68","","","","","",""
"Pharmacy","All Pharmacy","HPS Pharmacies - South Hobart","30 Cascade Road South Hobart TAS 7004","South Hobart","7004","Tasmania","Australia","108.0","","","","","",""
"Pharmacy","All Pharmacy","South Hobart Pharmacy","360 Macquarie Street South Hobart TAS 7004","South Hobart","7004","Tasmania","Australia","108.06","","","","","",""
"Pharmacy","All Pharmacy","Davey Street Discount Pharmacy","179 Davey Street Hobart TAS 7000","Hobart","7000","Tasmania","Australia","108.07","","","","","",""
"Pharmacy","All Pharmacy","Chemist Warehouse Salamanca","16 Montpelier Retreat Battery Point TAS 7004","Battery Point","7004","Tasmania","Australia","108.15","","","","","",""
"Pharmacy","All Pharmacy","Bellerive Quay Pharmacy","46 Cambridge Road Bellerive TAS 7018","Bellerive","7018","Tasmania","Australia","108.3","","","","","",""
"Pharmacy","All Pharmacy","CHEMIST WAREHOUSE - SANDY BAY","205 Sandy Bay Road Sandy Bay TAS 7005","Battery Point","7005","Tasmania","Australia","108.72","","","","","",""
"Pharmacy","All Pharmacy","TerryWhite Chemmart Sandy Bay","230 SANDY BAY ROAD, SANDY BAY, TAS,","","7005","Tasmania","Australia","108.75","","","","","",""
"Pharmacy","All Pharmacy","Good Price Pharmacy Warehouse - Cambridge","66 Kennedy Drive Cambridge TAS 7170","Ashmore","4214","Tasmania","Australia","108.76","","","","","",""
"Pharmacy","All Pharmacy","CHEMIST WAREHOUSE - SORELL","2 Gordon Street Sorell TAS 7172","Sorell","7172","Tasmania","Australia","108.96","","","","","",""
"Pharmacy","All Pharmacy","TerryWhite Chemmart Sorell","31 Gordon Street Sorell TAS 7172","Sorell","7172","Tasmania","Australia","109.13","","","","","",""
"Pharmacy","All Pharmacy","Amcal Pharmacy Howrah - Wentworth","178 Clarence Street Howrah TAS 7018","Howrah","7018","Tasmania","Australia","109.32","","","","","",""
"Pharmacy","All Pharmacy","Shoreline Amcal Pharmacy","6 Shoreline Drive Howrah TAS 7018","Howrah","2036","Tasmania","Australia","110.48","","","","","",""
"Pharmacy","All Pharmacy","Mount Nelson Pharmacy","464 NELSON ROAD, MOUNT NELSON, TAS,","Mount Nelson","7007","Tasmania","Australia","111.14","","","","","",""
"Pharmacy","All Pharmacy","Bayside Amcal Pharmacy","638 Sandy Bay Road Sandy Bay TAS 7005","Sandy Bay","7005","Tasmania","Australia","111.54","","","","","",""
"Pharmacy","All Pharmacy","Priceline Pharmacy Glebe Hill Village","Cnr Pass And Rokeby Road  Howrah TAS 7018","Howrah","7018","Tasmania","Australia","112.02","","","","","",""
"Pharmacy","All Pharmacy","Triabunna Pharmacy","20 Vicary Street Triabunna TAS 7190","Triabunna","7190","Tasmania","Australia","112.13","","","","","",""
"Pharmacy","All Pharmacy","Swansea Pharmacy","28 Franklin Street Swansea TAS 7190","Swansea","2281","Tasmania","Australia","112.68","","","","","",""
"Pharmacy","All Pharmacy","Discount Drug Stores - Rokeby","46 South Arm Road Rokeby TAS 7019","Rokeby","7019","Tasmania","Australia","114.23","","","","","",""
"Pharmacy","All Pharmacy","Penguin Pharmacy","105 Main Road Penguin TAS 7316","Penguin","7316","Tasmania","Australia","114.64","","","","","",""
"Pharmacy","All Pharmacy","HUONVILLE PHARMACY","59 Main Street Huonville TAS 7109","Huonville-Ranelagh","7109","Tasmania","Australia","114.68","","","","","",""
"Pharmacy","All Pharmacy","Huon Valley Health Food Pharmacy and Naturopathica","13 Main Street Huonville TAS 7109","Huonville-Ranelagh","7109","Tasmania","Australia","114.91","","","","","",""
"Pharmacy","All Pharmacy","Zeehan Pharmacy","120 Main Street Zeehan TAS 7469","Zeehan","7469","Tasmania","Australia","115.28","","","","","",""
"Pharmacy","All Pharmacy","Strahan Pharmacy","1 Reid Street Strahan TAS 7468","Strahan","6021","Tasmania","Australia","115.33","","","","","",""
"Pharmacy","All Pharmacy","Kingston Discount Drug Store","11 John Street Kingston TAS 7050","Kingston","7050","Tasmania","Australia","116.02","","","","","",""
"Pharmacy","All Pharmacy","Priceline Pharmacy Kingston Plaza","20 Channel Highway Kingston TAS 7050","Kingston","4680","Tasmania","Australia","116.09","","","","","",""
"Pharmacy","All Pharmacy","Good Price Pharmacy Warehouse - Kingston","14 Channel Highway Kingston TAS 7050","Kingston","7050","Tasmania","Australia","116.1","","","","","",""
"Pharmacy","All Pharmacy","Priceline Pharmacy - Kingston","29 Channel Highway Kingston TAS 7050","Kingston","7050","Tasmania","Australia","116.23","","","","","",""
"Pharmacy","All Pharmacy","TerryWhite Chemmart Chemist - Kingston Town","99 Maranoa Road Kingston TAS 7050","Kingston","7050","Tasmania","Australia","116.33","","","","","",""
"Pharmacy","All Pharmacy","LAUDERDALE PHARMACY","476 South Arm Road Lauderdale TAS 7021","Lauderdale","7021","Tasmania","Australia","116.45","","","","","",""
"Pharmacy","All Pharmacy","Galloways Pharmacy","15 King Street Scottsdale TAS 7260","Scottsdale","7260","Tasmania","Australia","117.24","","","","","",""
"Pharmacy","All Pharmacy","Scottsdale Pharmacy","21 Alfred Street Scottsdale TAS 7260","Scottsdale","7260","Tasmania","Australia","117.28","","","","","",""
"Pharmacy","All Pharmacy","TerryWhite Chemmart Dodges Ferry","58 Carlton Beach Road Dodges Ferry TAS 7173","Dodges Ferry","7173","Tasmania","Australia","118.32","","","","","",""
"Pharmacy","All Pharmacy","DISCOUNT DRUG STORES - BLACKMANS BAY","1 Opal Drive Blackmans Bay TAS 7052","Blackmans Bay","7052","Tasmania","Australia","118.72","","","","","",""
"Pharmacy","All Pharmacy","MARGATE PHARMACY","1710 Channel Highway Margate TAS 7054","Margate","4880","Tasmania","Australia","119.65","","","","","",""
"Pharmacy","All Pharmacy","Healthpoint Pharmacy Snug","2241 Channel Highway Snug TAS 7054","Wynyard","7054","Tasmania","Australia","123.96","","","","","",""
"Pharmacy","All Pharmacy","South Arm Community Pharmacy","3120 South Arm Road South Arm TAS 7022","South Arm","3280","Tasmania","Australia","125.32","","","","","",""
"Pharmacy","All Pharmacy","Upper Burnie Pharmacy","205 Mount Street Upper Burnie TAS 7320","Upper Burnie","7320","Tasmania","Australia","126.17","","","","","",""
"Pharmacy","All Pharmacy","Pharmacy One (Elshafie)","11 Wiseman Street Shorewell Park TAS 7320","Shorewell Park","7320","Tasmania","Australia","126.81","","","","","",""
"Pharmacy","All Pharmacy","Bridport Pharmacy","93 Main Street Bridport TAS 7262","Bridport","7262","Tasmania","Australia","127.23","","","","","",""
"Pharmacy","All Pharmacy","GEEVESTON PHARMACY","4 Church Street Geeveston TAS 7116","Geeveston","7116","Tasmania","Australia","127.56","","","","","",""
"Pharmacy","All Pharmacy","BOLAND'S PHARMACY","67 Wilson Street Burnie TAS 7320","Burnie","2209","Tasmania","Australia","127.68","","","","","",""
