"Classification","Business_Name","Title","Address","Suburb","Postcode","State","Country","Distance","Centre Size","Number of GP's","Phone Number"
"Clinical Services","All Medical Centres","Hindmarsh GP","275 Port Road, Hindmarsh SA 5007","Hindmarsh","5007","South Australia","Australia","1120.13","Small","2","(08) 8340 2233"
"Clinical Services","All Medical Centres","Torrens Clinic","83 Holbrooks Road, Flinders Park SA 5025","Flinders Park","5025","South Australia","Australia","1120.16","Small","4","(08) 8352 6022"
"Clinical Services","All Medical Centres","Fitzroy Medical Clinic","42 Prospect Road, Prospect SA 5082","Prospect","5082","South Australia","Australia","1120.17","Midsized","7","(08) 8269 6000"
"Clinical Services","All Medical Centres","GP Medical Telehealth","Fitzroy SA 5082","Fitzroy","5081","South Australia","Australia","1120.33","Small","1",""
"Clinical Services","All Medical Centres","Fulham Medical Clinic","576 Tapleys Hill Road, Fulham SA 5024","Fulham","5024","South Australia","Australia","1120.4","Small","1","(08) 8356 6699"
"Clinical Services","All Medical Centres","Highbury Medical Centre","1009 Lower North East Road, Highbury SA 5089","Highbury","5089","South Australia","Australia","1120.45","Midsized","8","(08) 8263 9388"
"Clinical Services","All Medical Centres","Unihealth Highbury","1009 Lower North East Road, Highbury SA 5089","Highbury","5089","South Australia","Australia","1120.46","Small","1","(08) 8263 9388"
"Clinical Services","All Medical Centres","Adelaide Optimal Healthcare","136 Port Road, Hindmarsh SA 5007","Hindmarsh","5006","South Australia","Australia","1120.6","Small","1","(08) 8346 6302"
"Clinical Services","All Medical Centres","Dernancourt Medical Centre","Shop 5A, 840 Lower North East Rd, Dernancourt SA 5075","Dernancourt","5084","South Australia","Australia","1120.7","Small","3","(08) 7095 0325"
"Clinical Services","All Medical Centres","Klemzig Medical Centre","78 Og Road, Klemzig SA 5087","Klemzig","5087","South Australia","Australia","1120.71","Midsized","9","(08) 8369 0444"
"Clinical Services","All Medical Centres","Paradise Medical Centre","61 - 63 Darley Road, Paradise SA 5075","Paradise","5086","South Australia","Australia","1120.73","Large","11","(08) 8261 1822"
"Clinical Services","All Medical Centres","Brickworks Medical Centre","2 Ashwin Parade, Torrensville SA 5031","Torrensville","5069","South Australia","Australia","1121.02","Small","2","(08) 7160 1187"
"Clinical Services","All Medical Centres","Pro Health Care","Unit 3, 70 Walkerville Terrace, Walkerville SA 5081","Walkerville","5081","South Australia","Australia","1121.39","Midsized","7","(08) 8269 2622"
"Clinical Services","All Medical Centres","North Adelaide Family Practice","118 Barnard Street, North Adelaide SA 5006","North Adelaide","5006","South Australia","Australia","1121.42","Midsized","7","(08) 8267 2177"
"Clinical Services","All Medical Centres","Underdale Medical Surgery","294b Henley Beach Road, Underdale SA 5032","Underdale","5032","South Australia","Australia","1121.43","Small","1","(08) 8352 4881"
"Clinical Services","All Medical Centres","Continence Matters","Ground Floor - Calavary Consulting Suites, Calvary Hospital North Adelaide, 89 Strangways Terrace, North Adelaide SA 5006","North Adelaide","5006","South Australia","Australia","1121.57","Small","1","(08) 8239 9109"
"Clinical Services","All Medical Centres","Campbelltown Family Medical Centre","606 Lower North East Road, Campbelltown SA 5074","Campbelltown","5074","South Australia","Australia","1121.57","Midsized","7","(08) 8166 0777"
"Clinical Services","All Medical Centres","Health at Brooker","592 Lower North East Road, Campbelltown SA 5074","Campbelltown","5074","South Australia","Australia","1121.66","Small","2","(08) 8337 1000"
"Clinical Services","All Medical Centres","Lasers in Medicine","Level 2, 161 Ward Street, North Adelaide SA 5006","North Adelaide","5006","South Australia","Australia","1121.79","Small","1","(08) 8227 1297"
"Clinical Services","All Medical Centres","May Health","28 Ward Street, North Adelaide SA 5006","North Adelaide","5006","South Australia","Australia","1121.83","Small","1","(08) 8267 5466"
"Clinical Services","All Medical Centres","Paramount Health","568 Lower North East Road, Campbelltown SA 5074","Campbelltown","5074","South Australia","Australia","1121.86","Small","2","(08) 7077 3056"
"Clinical Services","All Medical Centres","Western Clinic","152-154 Henley Beach Road, Torrensville SA 5031","Torrensville","5031","South Australia","Australia","1121.99","Small","3","(08) 8443 9611"
"Clinical Services","All Medical Centres","North Adelaide HealthCare & SkinCare","202 Melbourne Street, North Adelaide SA 5006","North Adelaide","5006","South Australia","Australia","1122.04","Small","1","(08) 7081 2016"
"Clinical Services","All Medical Centres","Wellend Health","Nyroca House, 10-20 New Street, North Adelaide SA 5006","North Adelaide","5006","South Australia","Australia","1122.05","Small","2","1300 652 028"
"Clinical Services","All Medical Centres","GP Surgery","567 Lower North East Road, Campbelltown SA 5074","Campbelltown","5074","South Australia","Australia","1122.07","Midsized","5","(08) 8337 1849"
"Clinical Services","All Medical Centres","Better Bladders","184 Melbourne Street, North Adelaide SA 5006","North Adelaide","5006","South Australia","Australia","1122.07","Small","1","(08) 8164 6360"
"Clinical Services","All Medical Centres","Health at Campbelltown","523 Lower North East Road, Campbelltown SA 5074","Campbelltown","5074","South Australia","Australia","1122.07","Large","11","(08) 8365 8111"
"Clinical Services","All Medical Centres","North Adelaide","273 Melbourne Street, North Adelaide SA 5006","North Adelaide","5006","South Australia","Australia","1122.14","Small","1","(08) 8166 5005"
"Clinical Services","All Medical Centres","Aware Women's Health","Level 1, Suite 3, 257 Melbourne Street, North Adelaide SA 5006","North Adelaide","5006","South Australia","Australia","1122.15","Small","3","(08) 8361 7866"
"Clinical Services","All Medical Centres","Corporate Health Group","103 Henley Beach Road, Mile End SA 5031","Mile End","5031","South Australia","Australia","1122.16","Midsized","5","(08) 8354 9200"
"Clinical Services","All Medical Centres","Marden Medical Clinic","12 Lower Portrush Rd, Marden SA 5070","Marden","5070","South Australia","Australia","1122.17","Midsized","5","(08) 8362 7032"
"Clinical Services","All Medical Centres","Fitness on the Park","64 Mackinnon Parade, North Adelaide SA 5006","North Adelaide","5006","South Australia","Australia","1122.18","Small","1","(08) 8267 1887"
"Clinical Services","All Medical Centres","Felixstow","503c Lower North East Road, Felixstow SA 5070","Felixstow","5070","South Australia","Australia","1122.23","Small","1","(08) 8336 1654"
"Clinical Services","All Medical Centres","North East Clinic","335 Gorge Road, Athelstone SA 5076","Athelstone","5076","South Australia","Australia","1122.25","Small","2","(08) 8336 3900"
"Clinical Services","All Medical Centres","Sparc Sport and Arthritis Clinic","90 Henley Beach Road, Mile End SA 5031","Mile End","5031","South Australia","Australia","1122.28","Small","1","(08) 8234 9707"
"Clinical Services","All Medical Centres","Mile End","74-76 Henley Beach Road, Mile End SA 5031","Mile End","5031","South Australia","Australia","1122.3","Small","1","(08) 8352 2244"
"Clinical Services","All Medical Centres","East Adelaide Healthcare","337 Payneham Road, Marden SA 5070","Marden","5070","South Australia","Australia","1122.32","Midsized","10","(08) 8230 6900"
"Clinical Services","All Medical Centres","The Medical Practice","49 Stephen Terrace, St Peters SA 5069","St Peters","5069","South Australia","Australia","1122.34","Small","1","(08) 8362 4644"
"Clinical Services","All Medical Centres","Medical HQ","320 Gorge Road, Athelstone SA 5076","Athelstone","5076","South Australia","Australia","1122.35","Midsized","5","(08) 8336 7333"
"Clinical Services","All Medical Centres","Health at Newton","8 Stradbroke Road, Newton SA 5074","Newton","5074","South Australia","Australia","1122.43","Midsized","7","(08) 8337 6888"
"Clinical Services","All Medical Centres","Hilton Plaza Surgery","Shop 13, 160 Sir Donald Bradman Drive, Hilton SA 5033","Hilton","5033","South Australia","Australia","1122.63","Small","1","(08) 8352 5575"
"Clinical Services","All Medical Centres","Mile End","238 South Road, Mile End SA 5031","Mile End","5031","South Australia","Australia","1122.72","Small","4","(08) 8352 8477"
"Clinical Services","All Medical Centres","South Road Day-Night Surgery","238 South Road, Mile End SA 5031","Mile End","5031","South Australia","Australia","1122.72","Small","1","(08) 8352 8477"
"Clinical Services","All Medical Centres","Richmond Health Clinic","133 Marion Road, Richmond SA 5033","Hilton","5033","South Australia","Australia","1122.77","Small","1","(08) 8234 6324"
"Clinical Services","All Medical Centres","Payneham","65 Portrush Rd, Payneham SA 5070","Payneham","5070","South Australia","Australia","1122.84","Small","1","(08) 7002 1533"
"Clinical Services","All Medical Centres","Portrush Road Medical Practice","64 Portrush Road, Payneham SA 5070","Payneham","5070","South Australia","Australia","1122.84","Small","1","(08) 7260 3156"
"Clinical Services","All Medical Centres","Adelaide","27 North Terrace, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1122.86","Small","1","1300 739 199"
"Clinical Services","All Medical Centres","Signal Health Newton","147 Montacute Road, Newton SA 5074","Newton","5074","South Australia","Australia","1122.94","Midsized","7","(08) 8360 9777"
"Clinical Services","All Medical Centres","Adelaide","129 Hindley Street, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1123.17","Small","1","(08) 8231 2824"
"Clinical Services","All Medical Centres","Adelaide City General Practice","Level 2, 29 King William Street, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1123.27","Midsized","8","(08) 8410 1322"
"Clinical Services","All Medical Centres","Royal Adelaide Hospital","Dept of Thoracic Medicine, 257 North Terrace, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1123.29","Small","1","(08) 8222 4259"
"Clinical Services","All Medical Centres","The Medical Practice","126 Portrush Road, Payneham South SA 5070","Payneham South","5070","South Australia","Australia","1123.32","Small","1","(08) 8132 0059"
"Clinical Services","All Medical Centres","Adelaide","Level 2 Centenary Building Frome Rd, Adelaide SA 5000","Adelaide","5067","South Australia","Australia","1123.34","Small","2","1300 172 996"
"Clinical Services","All Medical Centres","UniSA Health Medical Clinic","City East Campus, Level 2, Centenary Building, North Terrace, Adelaide SA 5000","Adelaide","5067","South Australia","Australia","1123.34","Small","4","1300 172 996"
"Clinical Services","All Medical Centres","Adelaide","Cty E Cntnry Bldg Unisa Cmps L2 Frome Rd, Adelaide SA 5000","Adelaide","5067","South Australia","Australia","1123.35","Small","2","1300 172 996"
"Clinical Services","All Medical Centres","University Health Practice","Horace Lamb Building, North Terrace Campus, Adelaide University SA 5005","Adelaide","5067","South Australia","Australia","1123.36","Midsized","7","(08) 8313 5050"
"Clinical Services","All Medical Centres","SportsMed SA","32 Payneham Road, Stepney SA 5069","Stepney","5069","South Australia","Australia","1123.41","Midsized","9","(08) 8362 8111"
"Clinical Services","All Medical Centres","Gawler Place Medical Practice","Level 1, 49 Gawler Place, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1123.44","Small","4","(08) 8212 7175"
"Clinical Services","All Medical Centres","Medical HQ","127 Glynburn Road, Glynde SA 5070","Glynde","5070","South Australia","Australia","1123.45","Midsized","9","(08) 8337 1200"
"Clinical Services","All Medical Centres","College Park","23A Payneham Road, College Park SA 5069","College Park","5069","South Australia","Australia","1123.46","Small","1","(08) 8362 3070"
"Clinical Services","All Medical Centres","Clinic H","Basement, 82 King William St, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1123.5","Small","1","(08) 7093 4180"
"Clinical Services","All Medical Centres","Adelaide","27 North Tce, Adelaide SA 5000","Hackney","5069","South Australia","Australia","1123.57","Small","1","1300 172 996"
"Clinical Services","All Medical Centres","Tranmere Village Medical Centre","164 Glynburn Road, Tranmere SA 5073","Tranmere","5022","South Australia","Australia","1123.57","Small","3","(08) 8365 1157"
"Clinical Services","All Medical Centres","Adelaide","21 Hindmarsh Square, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1123.58","Small","1","(08) 8232 7372"
"Clinical Services","All Medical Centres","Globe Medical","Level 1, 21 Hindmarsh Square, Adelaide SA 5000","Adelaide","5031","South Australia","Australia","1123.59","Small","3","(08) 8232 7372"
"Clinical Services","All Medical Centres","Human Care GP Specialists","60 North Terrace, Kent Town SA 5067","Kent Town","5067","South Australia","Australia","1123.59","Small","1","(08) 7093 5678"
"Clinical Services","All Medical Centres","Men's Health Centre","40 North Terrace, Kent Town SA 5067","Kent Town","5067","South Australia","Australia","1123.61","Small","1","(08) 8244 4438"
"Clinical Services","All Medical Centres","Maylands Medical Clinic","171 Portrush Road, Maylands SA 5069","Maylands","5006","South Australia","Australia","1123.63","Small","4","(08) 8362 5181"
"Clinical Services","All Medical Centres","Adelaide","Shop 1 160 Grote Street, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1123.63","Small","2","(08) 8241 1199"
"Clinical Services","All Medical Centres","City Clinic","1/160 Grote Street, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1123.64","Midsized","6","(08) 8241 1199"
"Clinical Services","All Medical Centres","The House Of Healing","Level 1, 81 King William St, Kent Town SA 5067","Kent Town","5067","South Australia","Australia","1123.66","Small","1","(08) 8431 9288"
"Clinical Services","All Medical Centres","Adelaide Sex Therapy","57 Magill Road, Stepney SA 5069","Stepney","5068","South Australia","Australia","1123.68","Small","1","0400 604 104"
"Clinical Services","All Medical Centres","Travel Doctor-TMVC","Suite 1, Ground Floor, 53-67 Hindmarsh Square, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1123.72","Small","1","(08) 8223 6225"
"Clinical Services","All Medical Centres","Adelaide","1/80 Grote Street, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1123.74","Small","1","(08) 8120 1888"
"Clinical Services","All Medical Centres","Dr M Giordano Family Practice","194 Glynburn Road, Tranmere SA 5073","Tranmere","5009","South Australia","Australia","1123.81","Small","1","(08) 8431 5588"
"Clinical Services","All Medical Centres","Adelaide","Suite 306, 147 Pirie Street, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1123.83","Small","1","(08) 8232 7533"
"Clinical Services","All Medical Centres","SHINE SA Hyde Street Practice","57 Hyde Street, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1123.83","Small","3","(08) 8300 5300"
"Clinical Services","All Medical Centres","Gouger Street Medical Centre","122 Gouger Street, Adelaide SA 5000","Adelaide","5067","South Australia","Australia","1123.85","Small","1","(08) 8231 5124"
"Clinical Services","All Medical Centres","Brian Burdekin Clinic","27 Selby Street, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1123.88","Small","1","(08) 8231 4801"
"Clinical Services","All Medical Centres","Beulah Road General Practice","14 Beulah Road, Norwood SA 5067","Norwood","5000","South Australia","Australia","1123.9","Small","4","(08) 8363 6173"
"Clinical Services","All Medical Centres","Firle Medical Centre","Shop 25B, 171 Glynburn Road, Firle SA 5070","Firle","5025","South Australia","Australia","1123.91","Large","11","(08) 8332 0424"
"Clinical Services","All Medical Centres","The International Spine Centre","41 Sydenham Road, Norwood SA 5067","Norwood","5067","South Australia","Australia","1123.98","Small","1","(08) 8223 4055"
"Clinical Services","All Medical Centres","Refugee Health Services","21 Market Street, Adelaide SA 5000","Adelaide","2540","South Australia","Australia","1124.03","Small","1","(08) 8237 3900"
"Clinical Services","All Medical Centres","Trinity Gardens Medical Centre","206-208 Portrush Road, Trinity Gardens SA 5068","Trinity Gardens","5068","South Australia","Australia","1124.04","Midsized","8","(08) 8364 1133"
"Clinical Services","All Medical Centres","Galway Medical Centre","267-269 Marion Road, Marleston SA 5033","Marleston","5033","South Australia","Australia","1124.05","Small","3","(08) 8351 2211"
"Clinical Services","All Medical Centres","Travel Bug Clinic","64a Fullarton Road, Norwood SA 5067","Norwood","5067","South Australia","Australia","1124.1","Small","1","(08) 8362 4144"
"Clinical Services","All Medical Centres","Nunkuwarrin Yunti","182-190 Wakefield Street, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1124.13","Midsized","9","(08) 8406 1600"
"Clinical Services","All Medical Centres","Norwood General Practice","5 The Parade, Norwood SA 5067","Norwood","5067","South Australia","Australia","1124.17","Small","3","(08) 8363 7770"
"Clinical Services","All Medical Centres","Adelaide","Se 6 50 Hutt Street, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1124.22","Small","1","(08) 8359 2776"
"Clinical Services","All Medical Centres","Forward Medical GP Clinic","Suite 1, 50 Hutt Street, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1124.22","Small","2","(08) 8359 2776"
"Clinical Services","All Medical Centres","Wakefield Sports and Exercise Medicine Clinic","Calvary Adelaide Hospital Consultancy Building, Ground Floor, 120 Angas Street, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1124.23","Midsized","10","(08) 8232 5833"
"Clinical Services","All Medical Centres","Hutt Street General Practice","Bray House, 60 Hutt Street, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1124.26","Small","4","(08) 8223 3918"
"Clinical Services","All Medical Centres","Adelaide Health Care","43 Carrington Street, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1124.28","Large","12","(08) 8410 0774"
"Clinical Services","All Medical Centres","Wakefield Medical Clinic","262 â€“ 300 Wakefield Street, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1124.3","Small","2","(08) 7228 6678"
"Clinical Services","All Medical Centres","Centre For Health & Wellbeing","38 The Parade, Norwood SA 5067","Norwood","5067","South Australia","Australia","1124.31","Midsized","8","(08) 8332 4100"
"Clinical Services","All Medical Centres","Trinity Gardens","2 Avonmore Avenue, Trinity Gardens SA 5068","Trinity Gardens","5068","South Australia","Australia","1124.32","Small","1","(08) 8431 2365"
"Clinical Services","All Medical Centres","Vitality Healthcare Medical Centre","Shop 55-56, 81 Carrington Street, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1124.32","Small","2","(08) 8359 2911"
"Clinical Services","All Medical Centres","Adelaide","55-56 81 Carrington Street, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1124.33","Small","3","(08) 8359 2911"
"Clinical Services","All Medical Centres","Trinity Gardens","339 Magill Road, Trinity Gardens SA 5068","Trinity Gardens","5068","South Australia","Australia","1124.46","Small","1","(08) 8331 9635"
"Clinical Services","All Medical Centres","Norwood General & Family Practice","41 George Street, Norwood SA 5067","Norwood","5067","South Australia","Australia","1124.5","Small","3","(08) 8332 1428"
"Clinical Services","All Medical Centres","Norwood Family Practice","43 George Street, Norwood SA 5067","Norwood","5067","South Australia","Australia","1124.51","Small","3","(08) 8332 0055"
"Clinical Services","All Medical Centres","Older Persons Mental Health Service","367A Magill Road, St Morris SA 5068","St Morris","5068","South Australia","Australia","1124.53","Small","1","(08) 7425 6400"
"Clinical Services","All Medical Centres","Re:You","143 Hutt Street, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1124.56","Midsized","5","(08) 8125 6766"
"Clinical Services","All Medical Centres","Ashford","497 South Road, Ashford SA 5035","Ashford","5035","South Australia","Australia","1124.57","Small","1","(08) 8371 3711"
"Clinical Services","All Medical Centres","Norwood","168 The Parade, Norwood SA 5067","Norwood","5067","South Australia","Australia","1124.63","Midsized","7","(08) 7089 8311"
"Clinical Services","All Medical Centres","Norwood Village Medical & Dental Centre","201-203 The Parade, Norwood SA 5067","Norwood","5067","South Australia","Australia","1124.65","Midsized","10","(08) 8425 1333"
"Clinical Services","All Medical Centres","PainMedSA","5 Greenhill Road, Wayville SA 5034","Wayville","5034","South Australia","Australia","1124.66","Small","2","(08) 8340 7733"
"Clinical Services","All Medical Centres","Keswick Barracks Medical Centre","Anzac Highway, Keswick SA 5035","Ashford","5035","South Australia","Australia","1124.76","Small","1","(08) 8305 6290"
"Clinical Services","All Medical Centres","Mooringe Medical Centre","68 Mooringe Avenue, North Plympton SA 5037","North Plympton","5037","South Australia","Australia","1124.86","Small","1","(08) 8297 2399"
"Clinical Services","All Medical Centres","Jobfit","47 Greenhill Road, Wayville SA 5034","Wayville","5034","South Australia","Australia","1124.91","Small","3","(08) 8177 8600"
"Clinical Services","All Medical Centres","Next Generation Occupational Medicine","22 Kensington Road, Rose Park SA 5067","Rose Park","5067","South Australia","Australia","1124.91","Small","2","(08) 7231 0811"
"Clinical Services","All Medical Centres","Women's Health Plus","303 Glynburn Road, Kensington Park SA 5068","Kensington Park","5068","South Australia","Australia","1124.96","Small","1","(08) 7523 3439"
"Clinical Services","All Medical Centres","Ashford Specialist Centre","Suite 16, 3rd Floor, 57-59 Anzac Highway, Ashford SA 5035","Ashford","5035","South Australia","Australia","1124.98","Small","1","(08) 8293 8109"
"Clinical Services","All Medical Centres","Adelaide Mums and Babies Clinic","3/146 Fullarton Road, Rose Park SA 5067","Rose Park","5067","South Australia","Australia","1125.04","Small","1","(08) 8166 4381"
"Clinical Services","All Medical Centres","Pro Health Care","93 Kensington Rd, Norwood SA 5067","Norwood","5067","South Australia","Australia","1125.04","Large","18","(08) 8431 5506"
"Clinical Services","All Medical Centres","Doctors Health SA","327 South Terrace, Adelaide SA 5000","Adelaide","5000","South Australia","Australia","1125.06","Small","1","(08) 8232 1250"
"Clinical Services","All Medical Centres","Magill Family Practice","537 Magilll Road, Magill SA 5072","Magill","5072","South Australia","Australia","1125.18","Large","13","(08) 8331 9061"
"Clinical Services","All Medical Centres","Kurralta Park Surgery","151A Anzac Highway, Kurralta Park SA 5037","Kurralta Park","5037","South Australia","Australia","1125.26","Midsized","5","(08) 8293 2994"
"Clinical Services","All Medical Centres","Glenelg Health Care","724 Anzac Highway, Glenelg SA 5045","Glenelg","5045","South Australia","Australia","1125.33","Small","1","(08) 7081 4777"
"Clinical Services","All Medical Centres","Gumeracha Medical Practice","29 Albert Street, Gumeracha SA 5233","Gumeracha","5233","South Australia","Australia","1125.4","Midsized","8","(08) 8389 1009"
"Clinical Services","All Medical Centres","Magill Road Medical Centre","562 Magill Road, Magill SA 5072","Magill","5068","South Australia","Australia","1125.44","Midsized","8","(08) 8332 6388"
"Clinical Services","All Medical Centres","Dermatology SA","1st Floor, 164 Fullarton Road, Dulwich SA 5065","Dulwich","5065","South Australia","Australia","1125.44","Small","1","(08) 8332 4155"
"Clinical Services","All Medical Centres","Plympton Family Practice","1 Long Street, Plympton SA 5038","Plympton","5038","South Australia","Australia","1125.45","Small","3","(08) 8293 2931"
"Clinical Services","All Medical Centres","Partridge GP","670 Anzac Highway, Glenelg SA 5045","Glenelg East","5045","South Australia","Australia","1125.49","Large","12","(08) 8295 3200"
"Clinical Services","All Medical Centres","Bayside Family Medical & Musculoskeletal Practice","7 Brighton Road, Glenelg SA 5045","Glenelg","5045","South Australia","Australia","1125.54","Midsized","7","(08) 8295 1890"
"Clinical Services","All Medical Centres","The Health Hub Family GP","4 Waterloo Road, Glenelg SA 5045","Glenelg","5045","South Australia","Australia","1125.64","Midsized","5","(08) 8376 2957"
"Clinical Services","All Medical Centres","Flinders Fertility","24 Gordon Street, Glenelg SA 5045","Glenelg","5045","South Australia","Australia","1125.68","Small","2","(08) 8155 5333"
"Clinical Services","All Medical Centres","Holdfast Medical Centre","6 Gordon Street, Glenelg SA 5045","Glenelg","5045","South Australia","Australia","1125.69","Midsized","5","(08) 8295 3511"
"Clinical Services","All Medical Centres","Kensington Park Medical Practice","84 Shipsters Rd, Kensington Park SA 5068","Kensington Park","5068","South Australia","Australia","1125.71","Small","3","(08) 8332 4077"
"Clinical Services","All Medical Centres","Rose Street Clinic","1 Rose Street, Glenelg SA 5045","Glenelg","5045","South Australia","Australia","1125.73","Midsized","5","(08) 8295 2167"
"Clinical Services","All Medical Centres","ReproMed","ReproMed Building, 180 Fullarton Road, Dulwich SA 5065","Dulwich","5065","South Australia","Australia","1125.76","Small","4","(08) 8333 8111"
"Clinical Services","All Medical Centres","Goodwood","40 King William Rd, Goodwood SA 5034","Goodwood","5034","South Australia","Australia","1125.8","Small","1","0405 321 297"
"Clinical Services","All Medical Centres","Health on Kensington","252 Kensington Road, Leabrook SA 5068","Leabrook","5000","South Australia","Australia","1125.8","Small","3","(08) 8364 4511"
"Clinical Services","All Medical Centres","Parkside","59 Unley Road, Parkside SA 5063","Parkside","5063","South Australia","Australia","1125.81","Small","1","(08) 8274 1224"
"Clinical Services","All Medical Centres","Fountain Corner Family Practice","57 Unley Road, Parkside SA 5063","Parkside","5063","South Australia","Australia","1125.81","Large","14","(08) 8373 1797"
"Clinical Services","All Medical Centres","Adelaide Central Respiratory Clinic","257 Fullarton Road, Fullarton SA 5063","Parkside","5063","South Australia","Australia","1125.82","Small","1","0401 142 608"
"Clinical Services","All Medical Centres","Dulwich Family Practice","62 Dulwich Avenue, Dulwich SA 5065","Dulwich","5065","South Australia","Australia","1125.83","Midsized","5","(08) 8139 2444"
"Clinical Services","All Medical Centres","Health at Dulwich","12 Stuart Road, Dulwich SA 5065","Dulwich","5065","South Australia","Australia","1125.86","Midsized","7","(08) 7221 2588"
"Clinical Services","All Medical Centres","Pear Tree Family Practice","16 Partridge Street, Glenelg SA 5045","Glenelg","5045","South Australia","Australia","1125.88","Midsized","9","(08) 7228 5818"
"Clinical Services","All Medical Centres","Glenelg Family Practice","37 Moseley Street, Glenelg SA 5045","Glenelg","5045","South Australia","Australia","1125.94","Small","2","(08) 8295 3563"
"Clinical Services","All Medical Centres","Hyde Park Medical Clinic","95-99 King William Road, Unley SA 5061","Unley","5061","South Australia","Australia","1125.97","Midsized","9","(08) 8373 3337"
"Clinical Services","All Medical Centres","Morphettville Medical Centre","520 Anzac Highway, Glenelg East SA 5045","Glenelg East","5045","South Australia","Australia","1126.08","Large","14","(08) 8376 0511"
"Clinical Services","All Medical Centres","Signal Health Tusmore","350 Portrush Road, Tusmore SA 5065","Tusmore","5065","South Australia","Australia","1126.15","Small","1","(08) 7118 7789"
"Clinical Services","All Medical Centres","Erindale Medical and Health","362 Kensington Road, Erindale SA 5066","Erindale","5066","South Australia","Australia","1126.19","Small","4","(08) 7122 5999"
"Clinical Services","All Medical Centres","Hughes Clinic","160 Unley Road, Unley SA 5061","Unley","5244","South Australia","Australia","1126.21","Midsized","10","(08) 8272 8266"
"Clinical Services","All Medical Centres","Family Healthcare Erindale","386 Kensington Road, Erindale SA 5066","Erindale","5066","South Australia","Australia","1126.29","Small","1","(08) 8431 2077"
"Clinical Services","All Medical Centres","Your Family Medicine Practice","484 Marion Road, Plympton Park SA 5038","Plympton Park","5038","South Australia","Australia","1126.42","Small","3","(08) 8297 3233"
"Clinical Services","All Medical Centres","Flourish Medical Specialists","296 Greenhill Road, Glenside SA 5065","Glenside","5065","South Australia","Australia","1126.44","Small","1","(08) 8471 2735"
"Clinical Services","All Medical Centres","Bay Medical Clinic","15 Diagonal Road, Glenelg East SA 5045","Glenelg East","5045","South Australia","Australia","1126.57","Small","1","(08) 8295 3450"
"Clinical Services","All Medical Centres","Malvern Medical Centre","199 Unley Road, Unley SA 5061","Unley","5064","South Australia","Australia","1126.63","Midsized","8","(08) 8373 0355"
"Clinical Services","All Medical Centres","Arkaba Medical Centre","257 Fullarton Road, Parkside SA 5063","Parkside","5065","South Australia","Australia","1126.72","Large","19","(08) 8373 0888"
"Clinical Services","All Medical Centres","Glenelg South Medical Centre","101-103 Partridge Street, Glenelg South SA 5045","Glenelg South","5039","South Australia","Australia","1126.74","Midsized","5","(08) 8295 7370"
"Clinical Services","All Medical Centres","Linden Park Medical Clinic","412 Portrush Road, Linden Park SA 5065","Linden Park","5065","South Australia","Australia","1126.85","Small","2","(08) 8379 1751"
"Clinical Services","All Medical Centres","Tusmore Avenue Surgery","103 Tusmore Avenue, Tusmore SA 5065","Tusmore","5065","South Australia","Australia","1126.95","Midsized","6","(08) 8332 2010"
"Clinical Services","All Medical Centres","Kings Park Clinic","309 Goodwood Road, Kings Park SA 5034","Kings Park","5244","South Australia","Australia","1127.08","Midsized","10","(08) 8271 0303"
"Clinical Services","All Medical Centres","Parkside Family Practice","321 Fullarton Road, Parkside SA 5063","Parkside","5063","South Australia","Australia","1127.15","Midsized","8","(08) 8271 3985"
"Clinical Services","All Medical Centres","Skin Matters SA","506 Glynburn Road, Adelaide SA 5000","Burnside","5066","South Australia","Australia","1127.18","Small","1","(08) 8364 5800"
"Clinical Services","All Medical Centres","South West Health","579 Marion Road, South Plympton SA 5038","South Plympton","5038","South Australia","Australia","1127.24","Small","2","(08) 8297 7461"
"Clinical Services","All Medical Centres","Glengowrie Medical Complex","144 Morphett Road, Glengowrie SA 5044","Glengowrie","5044","South Australia","Australia","1127.33","Midsized","10","(08) 8166 3630"
